,metal,ox,ligstr,complex.size,spin,geom
628,fe,3.0,acetonitrile_acetonitrile_formaldehyde_formaldehyde,21.0,6.0,tetrahedral
629,fe,3.0,acetonitrile_acetonitrile_acetonitrile_formaldehyde,23.0,6.0,tetrahedral
630,fe,3.0,ammonia_formaldehyde_formaldehyde_formaldehyde,17.0,6.0,tetrahedral
631,fe,3.0,ammonia_ammonia_formaldehyde_formaldehyde,17.0,6.0,tetrahedral
632,fe,3.0,ammonia_ammonia_ammonia_formaldehyde,17.0,6.0,tetrahedral
633,fe,3.0,benzisc_formaldehyde_formaldehyde_formaldehyde,29.0,6.0,tetrahedral
634,fe,3.0,benzisc_benzisc_formaldehyde_formaldehyde,41.0,6.0,tetrahedral
635,fe,3.0,benzisc_benzisc_benzisc_formaldehyde,53.0,6.0,tetrahedral
636,fe,3.0,cyanopyridine_formaldehyde_formaldehyde_formaldehyde,25.0,6.0,tetrahedral
637,fe,3.0,cyanopyridine_cyanopyridine_formaldehyde_formaldehyde,33.0,6.0,tetrahedral
638,fe,3.0,cyanopyridine_cyanopyridine_cyanopyridine_formaldehyde,41.0,6.0,tetrahedral
639,fe,3.0,formaldehyde_methylamine_methylamine_methylamine,26.0,6.0,tetrahedral
640,fe,3.0,formaldehyde_pyridine_pyridine_pyridine,38.0,6.0,tetrahedral
641,fe,3.0,formaldehyde_formaldehyde_methylamine_methylamine,23.0,6.0,tetrahedral
642,fe,3.0,formaldehyde_formaldehyde_pyridine_pyridine,31.0,6.0,tetrahedral
643,fe,3.0,formaldehyde_formaldehyde_thiopyridine_thiopyridine,33.0,6.0,tetrahedral
644,fe,3.0,formaldehyde_formaldehyde_formaldehyde_methylamine,20.0,6.0,tetrahedral
645,fe,3.0,formaldehyde_formaldehyde_formaldehyde_pyridine,24.0,6.0,tetrahedral
646,fe,3.0,formaldehyde_formaldehyde_formaldehyde_thiopyridine,25.0,6.0,tetrahedral
647,fe,3.0,ncs_acetonitrile_acetonitrile_acetonitrile,22.0,6.0,tetrahedral
648,fe,3.0,ncs_ammonia_ammonia_ammonia,16.0,6.0,tetrahedral
649,fe,3.0,ncs_benzisc_benzisc_benzisc,52.0,6.0,tetrahedral
650,fe,3.0,ncs_cyanopyridine_cyanopyridine_cyanopyridine,40.0,6.0,tetrahedral
651,fe,3.0,ncs_formaldehyde_formaldehyde_formaldehyde,16.0,6.0,tetrahedral
652,fe,3.0,ncs_methylamine_methylamine_methylamine,25.0,6.0,tetrahedral
653,fe,3.0,ncs_pyridine_pyridine_pyridine,37.0,6.0,tetrahedral
654,fe,3.0,ncs_ncs_acetonitrile_acetonitrile,19.0,6.0,tetrahedral
655,fe,3.0,ncs_ncs_ammonia_ammonia,15.0,6.0,tetrahedral
